t,x,y,yaw
187.316676435,-0.007320992444613045,-0.06597598993315848,-0.027662767009297227
187.366676438,-0.007320754045598491,-0.06597605008552591,-0.027662811757563705
187.416676441,-0.007320515613860501,-0.06597588580805534,-0.027662766620061344
187.466676443,-0.007321707708825308,-0.0659757815596581,-0.027662453798276414
187.516676446,-0.007321230865164537,-0.0659757813776144,-0.02766282640125755
187.566676449,-0.007321707689288788,-0.06597575120982932,-0.027662558274922148
187.616676451,-0.007320754028020584,-0.06597579627923142,-0.027662900864577136
187.666676454,-0.007321469272849604,-0.06597572146859003,-0.027663064400160163
187.716676456,-0.007320515633397023,-0.0659759161578841,-0.027662587956020897
187.766676459,-0.007320992446724937,-0.06597593038938052,-0.027662617789947944
187.816676462,-0.007321707709048257,-0.065976019978113,-0.027662841381691224
187.866676464,-0.007321230854535412,-0.06597600459073705,-0.027662737027016104
187.916676467,-0.007321230869485858,-0.0659757665981325,-0.027662692356568343
187.966676469,-0.007320754040775534,-0.06597552842348424,-0.027662498493678633
188.016676472,-0.007320992461745055,-0.06597576690254313,-0.027662722150922095
188.066676475,-0.007320754047557105,-0.0659758266290602,-0.027662692166960698
188.116676477,-0.007321230867833799,-0.06597631787997373,-0.027662811601352068
188.16667648,-0.00732099245595282,-0.06597652667886088,-0.027662886214474887
188.216676482,-0.007320992443183936,-0.06597677963345462,-0.027662781711360298
188.266676485,-0.007320754035693949,-0.06597704815862704,-0.0276627966295725
188.316676488,-0.007321946152432576,-0.06597704882666149,-0.02766282567127566
188.36667649,-0.0073212308623341864,-0.06597739058051355,-0.02766272197443638
188.416676493,-0.0073214692768983625,-0.06597773318513915,-0.02766275186263054
188.466676495,-0.007321707695560912,-0.06597782259182795,-0.02766273598129425
188.516676498,-0.0073219461337599824,-0.0659779423483455,-0.027662483514352274
188.566676501,-0.007321230860960814,-0.06597823988542342,-0.027662841378417007
188.616676503,-0.00732099244461917,-0.06597831445225814,-0.027662543264453082
188.666676506,-0.007320992451247461,-0.06597844874514634,-0.027662498496633624
188.716676509,-0.00732194612761939,-0.06597832959582745,-0.02766245353507376
188.76667651100001,-0.007321469290461503,-0.06597832959629105,-0.027662871074859364
188.816676514,-0.007320515622565006,-0.06597824037280495,-0.02766229037123429
188.866676516,-0.007321707734968377,-0.06597824091916787,-0.02766287121937803
188.916676519,-0.0073212308804833995,-0.06597825533409875,-0.02766245368007609
188.966676522,-0.007321230871938296,-0.06597838920113658,-0.027662424047538815
189.016676524,-0.007321469268994237,-0.06597855250523486,-0.02766276670853705
189.066676527,-0.007321230898186716,-0.06597864325077414,-0.027662617191590206
189.116676529,-0.0073209924540003305,-0.06597907465442626,-0.027662528381188767
189.166676532,-0.007321230859559573,-0.06597905938802642,-0.027662647358866334
189.216676535,-0.007320992441161775,-0.06597925310325285,-0.02766276696189832
189.266676537,-0.00732123087701207,-0.06597917908394002,-0.027662825774938508
189.31667654,-0.0073209924368125845,-0.06597923808042788,-0.02766278168346734
189.366676542,-0.007320515653873265,-0.06597926940409253,-0.02766263268704331
189.416676545,-0.0073207540270434955,-0.06597938733553707,-0.02766266201056083
189.466676548,-0.007321946133013653,-0.06597946220515984,-0.0276626618536064
189.51667655,-0.0073207540406763074,-0.06598005825245613,-0.027662871092785337
189.566676553,-0.007321469300985277,-0.06598031169304061,-0.027662721587645815
189.616676555,-0.007321946118857462,-0.06598054956351003,-0.02766288592369937
189.666676558,-0.00732123087639115,-0.06598083305113524,-0.027662990204790235
189.716676561,-0.007321946130085762,-0.06598096709998497,-0.02766300458965911
189.766676563,-0.0073205156123461,-0.0659812202384768,-0.027662990294912
189.816676566,-0.007321707731405632,-0.06598138488003477,-0.02766305002030828
189.866676568,-0.007321707722735119,-0.0659813846366917,-0.02766233439581907
189.916676571,-0.007321946137146019,-0.06598156332862956,-0.027662900974069645
189.966676574,-0.007321946141606683,-0.06598169756068198,-0.027663019443472006
190.016676576,-0.007320992486883167,-0.06598178751605169,-0.027662916057026605
190.066676579,-0.007321469302336905,-0.06598175710492354,-0.027663020319124695
190.116676582,-0.007321707712273205,-0.06598178666365553,-0.02766282632050186
190.166676584,-0.007321230868709974,-0.06598189078968586,-0.027662557916183637
190.216676587,-0.007320992424509655,-0.06598230729218456,-0.02766281130607082
190.266676589,-0.0073224229644272346,-0.06598259120357396,-0.027663258516632466
190.316676592,-0.00732170770001989,-0.06598259096092628,-0.027662781402097623
190.366676595,-0.007320992455163001,-0.06598263596926082,-0.02766304993016295
190.416676597,-0.007320992459470389,-0.06598260628862548,-0.027662751161969215
190.4666766,-0.007322184543903611,-0.06598282956142491,-0.027663019864601263
190.516676602,-0.007321230865294383,-0.06598287414414086,-0.027663138762199353
190.566676605,-0.007322184559286021,-0.06598305350457677,-0.027662632502981642
190.616676608,-0.00732075408263375,-0.06598320349087416,-0.027662930246534108
190.66667661,-0.0073217077419712095,-0.06598341168024464,-0.027662707262990246
190.716676613,-0.007321469306148781,-0.06598351550186432,-0.027662871112061244
190.766676615,-0.0073214692930872755,-0.06598345553223599,-0.0276626772054748
190.816676618,-0.007321230855236564,-0.06598370830455424,-0.0276628263919151
190.866676621,-0.007321946132719346,-0.06598378341798367,-0.027663034652252116
190.916676623,-0.007322184564317992,-0.06598379868391992,-0.027662199929232998
190.966676626,-0.007322661429822256,-0.06598397828816248,-0.027662647506449506
191.016676628,-0.007322184575379082,-0.06598403740655366,-0.02766246853321455
191.066676631,-0.007321946161274737,-0.06598418653999133,-0.027662631931176792
191.116676634,-0.007321946133165244,-0.0659842602548935,-0.027662647712486294
191.166676636,-0.007320754072966092,-0.06598445488358365,-0.027662990326746587
191.216676639,-0.007322422957582116,-0.06598454301133053,-0.027662588062218614
191.266676642,-0.007321707732442894,-0.06598481208448843,-0.02766260253012165
191.316676644,-0.007322184574158987,-0.06598505062415129,-0.027662647510371712
191.366676647,-0.007321230869607894,-0.0659851689826052,-0.02766275130817543
191.416676649,-0.0073224229711452565,-0.06598513942248242,-0.02766245382847179
191.466676652,-0.007320992466132674,-0.06598509490292022,-0.027662856017070133
191.516676655,-0.007321469316282396,-0.06598508036631778,-0.027662766736585714
191.566676657,-0.007321707741433895,-0.06598515505436045,-0.027663034876121293
191.61667666,-0.00732170773262404,-0.06598500579948305,-0.027662677389345507
191.666676662,-0.0073214692966901375,-0.06598499041187529,-0.02766261783417918
191.716676665,-0.0073221845763126805,-0.06598503578383363,-0.02766301935366621
191.766676668,-0.0073221845612646925,-0.06598516946836415,-0.02766246875456739
191.81667667,-0.007321946127609893,-0.06598527335081959,-0.027662543043260365
191.866676673,-0.0073219461385177044,-0.0659853481607656,-0.027662751294819748
191.916676675,-0.0073214692842138735,-0.06598555629069111,-0.027662632613034924
191.966676678,-0.007322184557375334,-0.06598564618360245,-0.027662617987275054
192.016676681,-0.007320754046041015,-0.06598579519652757,-0.027662692284065944
192.066676683,-0.007321230868123047,-0.06598589907828763,-0.027662781249693787
192.116676686,-0.007321707711964965,-0.06598609297532594,-0.02766240926253993
192.166676688,-0.007321707735934281,-0.06598622775490026,-0.027662647327763724
192.216676691,-0.007321707714411278,-0.06598639105923035,-0.027662721657379073
192.266676694,-0.007322422972594424,-0.06598668914243938,-0.027662469060673385
192.316676696,-0.007321230873308296,-0.06598680817031853,-0.027662647411557075
192.366676699,-0.007321946131268492,-0.06598686783507261,-0.027662781026132968
192.416676701,-0.007321946144302129,-0.06598689800239409,-0.027662513333493087
192.466676704,-0.0073217077128149574,-0.06598700194568531,-0.027662841238529603
192.516676707,-0.007321707706465351,-0.06598716567586577,-0.027662557860097917
192.566676709,-0.007321946129602499,-0.06598740421576041,-0.027662572834271464
192.616676712,-0.007321469299309787,-0.06598779182872055,-0.027662870866669676
192.666676715,-0.0073214692885970566,-0.06598792563492262,-0.027662454110176798
192.716676717,-0.007321230870129587,-0.06598804484438187,-0.027662781604772323
192.76667672,-0.007321469299602408,-0.06598810475294263,-0.027662617337699966
192.816676722,-0.007321707715999789,-0.06598808979072164,-0.02766261718403744
192.866676725,-0.007322184548892092,-0.06598816417435367,-0.027662706751065927
192.916676728,-0.00732123086601728,-0.06598828314116525,-0.027662856022594356
192.96667673,-0.0073224229589956055,-0.06598837254692685,-0.02766264737274062
193.016676733,-0.007322661382035214,-0.06598850677874749,-0.027662781623681375
193.066676735,-0.007321469313193417,-0.0659887309664014,-0.02766303477808457
193.116676738,-0.007322661403753297,-0.06598855209056545,-0.02766269171414829
193.166676741,-0.007321946119934841,-0.06598865560846989,-0.02766278140703424
193.216676743,-0.007322661408478713,-0.06598896944453309,-0.027662707487427652
193.266676746,-0.007320754036281941,-0.0659892668002627,-0.027662796321965097
193.316676748,-0.007321707717351416,-0.06598953520260457,-0.027662856169094117
193.366676751,-0.007321946125329104,-0.06598978821780228,-0.02766293062932652
193.416676754,-0.007321230876415646,-0.06599013112753392,-0.027663050006176467
193.466676756,-0.007321707715782964,-0.0659901758913664,-0.027662945437434937
193.516676759,-0.007322184559471604,-0.06599020587571697,-0.027662960479476556
193.566676761,-0.0073224229715616,-0.0659902205941313,-0.027662901026911383
193.616676764,-0.007321707722480929,-0.06599038469002175,-0.02766285647768637
193.666676767,-0.007321230874498836,-0.06599039928745994,-0.027662662287104012
193.716676769,-0.007322184568434737,-0.06599051904328211,-0.02766316905131704
193.766676772,-0.007321707707516547,-0.06599060778147287,-0.02766318401594655
193.816676774,-0.007320277196070753,-0.06599063758517051,-0.0276629902822155
193.866676777,-0.007321230861702082,-0.06599062243974682,-0.02766296020760724
193.91667678,-0.007321469301999109,-0.06599066775133298,-0.02766316922461498
193.966676782,-0.007321707720424775,-0.06599050383841343,-0.027662840658374627
194.016676785,-0.007320754035340532,-0.06599057804092896,-0.027663124134579237
194.066676788,-0.007320992445151424,-0.06599047348928007,-0.02766257258736564
194.11667679,-0.007322184577133117,-0.06599054908893205,-0.02766290095151322
194.166676793,-0.007320754039717591,-0.06599062286606079,-0.027662945439535687
194.216676795,-0.007321469310739292,-0.06599074250044322,-0.027663183843063127
194.266676798,-0.007320992465119907,-0.06599096577486524,-0.027663362596938072
194.316676801,-0.007321946133155747,-0.06599120400988565,-0.02766270730808447
194.366676803,-0.007320754020822048,-0.0659912779692899,-0.027663169097267303
194.416676806,-0.007321469280754792,-0.06599112907873173,-0.02766294537752246
194.466676808,-0.007321230877377113,-0.06599115930712075,-0.02766315413631243
194.516676811,-0.007321707710157941,-0.06599111448152532,-0.0276625880242017
194.566676814,-0.00732194616561443,-0.06599114531780845,-0.02766319868098352
194.616676816,-0.00732123087551604,-0.0659914870716605,-0.027663333165670444
194.666676819,-0.0073219461290713085,-0.0659914721089759,-0.027662960763344978
194.716676821,-0.007321230884186551,-0.06599148731500357,-0.02766272212288409
194.766676824,-0.007321469294206458,-0.06599160628065616,-0.02766299017685501
194.816676827,-0.007321230873682835,-0.0659918446385071,-0.027662856116993453
194.866676829,-0.007321946149207005,-0.06599214320840226,-0.02766285599774369
194.916676832,-0.007321946121222921,-0.06599235103368534,-0.027662722191204085
194.966676834,-0.007320992457884629,-0.0659925003503257,-0.02766267756797185
195.016676837,-0.007321707718263271,-0.06599282829667734,-0.027662841269789736
195.06667684,-0.007321230913940293,-0.06599317193620641,-0.02766257322340398
195.116676842,-0.007321469317624526,-0.06599346953319286,-0.027662409172168015
195.166676845,-0.0073219461855054315,-0.0659938727155727,-0.027662543222422536
195.216676848,-0.0073212308821365224,-0.06599393098249492,-0.02766276612289631
195.26667685,-0.007321230884262347,-0.0659938863398704,-0.027662676727258938
195.316676853,-0.007321946135886871,-0.06599412463595838,-0.027662618079016533
195.366676855,-0.007321230869493046,-0.06599431804746957,-0.027662542872302923
195.416676858,-0.007321707741751011,-0.06599476605498121,-0.027662617674730973
195.466676861,-0.007320992493004765,-0.06599528777855404,-0.027663050136766846
195.516676863,-0.007321707748978478,-0.06599554109746698,-0.02766267752687504
195.566676866,-0.007322184575367897,-0.06599561529859173,-0.027662781742405593
195.616676868,-0.007321946157095509,-0.06599594312419903,-0.02766275210684651
195.666676871,-0.007321230897107027,-0.06599603241014348,-0.027662304965078446
195.716676874,-0.007322184566990006,-0.06599592797947074,-0.027662886109540565
195.766676876,-0.007320515608744301,-0.0659959122890749,-0.027662870800759846
195.816676879,-0.00732146930042897,-0.06599594257714073,-0.0276624533873526
195.866676881,-0.007321469324258943,-0.06599592834518073,-0.027662558129691824
195.916676884,-0.007321230896884078,-0.06599579399168858,-0.027662423251193963
195.966676887,-0.00732170774054485,-0.06599579417373228,-0.027662542663119977
196.016676889,-0.007322422989778797,-0.06599579399052959,-0.027662751812010052
196.066676892,-0.007322184568892882,-0.06599564491839129,-0.027662558146815557
196.116676894,-0.007321946143978266,-0.06599582354995696,-0.027662736813316276
196.166676897,-0.007321230888575858,-0.06599618117833474,-0.027662662279310732
196.2166769,-0.007321469302833481,-0.06599619595758484,-0.02766281070439425
196.266676902,-0.007322422992322652,-0.06599619638250802,-0.027662647713922874
196.316676905,-0.007322661423949167,-0.06599624145075111,-0.02766281100458034
196.366676907,-0.007322184543522324,-0.06599632964141998,-0.027662617229110145
196.41667691,-0.0073214693271232865,-0.06599667346368811,-0.027662573343881953
196.466676913,-0.007321469329513863,-0.0659969119429788,-0.02766300539423009
196.516676915,-0.007321946145218419,-0.06599714975261244,-0.027662931241770387
196.566676918,-0.007322422991116491,-0.06599722450125908,-0.027662781696573522
196.616676921,-0.007321946141106112,-0.06599738804939582,-0.027662602575064515
196.666676923,-0.007320754078822938,-0.0659976720241708,-0.027662781519531995
196.716676926,-0.0073214693065617505,-0.06599786494760503,-0.027662781153548373
196.766676928,-0.007320992458816541,-0.06599813286465157,-0.027663020234503972
196.816676931,-0.007321230868738907,-0.06599814752223014,-0.027662796572791314
196.866676934,-0.007321946152668836,-0.06599816321355313,-0.027662989971717254
196.916676936,-0.007322422983491052,-0.06599834184442344,-0.027663124694128207
196.966676939,-0.0073221845627584135,-0.0659983566849729,-0.027662870890651673
197.016676941,-0.0073224229877705705,-0.06599828236148124,-0.02766267697526377
197.066676944,-0.007321469294085487,-0.06599843082642085,-0.027662886174907097
197.116676947,-0.007321707736633746,-0.06599856560576338,-0.0276626772146033
197.166676949,-0.0073221845694424435,-0.06599855058247482,-0.02766290045458271
197.216676952,-0.007322422968679948,-0.06599872884856231,-0.027662856000674543
197.266676954,-0.007321946146974141,-0.0659990272979449,-0.02766300538077857
197.316676957,-0.007322184576335489,-0.06599896799727822,-0.027663049140589247
197.36667696,-0.007321946151476609,-0.06599920623345763,-0.027663109552769048
197.416676962,-0.007321946160174991,-0.06599923627910756,-0.02766245363521719
197.466676965,-0.007321946138582317,-0.06599932507767049,-0.02766294498979931
197.516676967,-0.0073219461365679655,-0.06599948892952248,-0.027663332969129973
197.56667697,-0.007321946169124189,-0.06599953454551928,-0.02766279651925257
197.616676973,-0.0073212309026467574,-0.06599963855010987,-0.027663049817263242
197.666676975,-0.007321946141181908,-0.06599978707426266,-0.02766255806514866
197.716676978,-0.007322661418859772,-0.06600007080384016,-0.027663109220545753
197.766676981,-0.007321946148116755,-0.06600024919252635,-0.027662423968995327
197.816676983,-0.0073219461439208424,-0.06600039808238915,-0.027662722115424303
197.866676986,-0.0073221845666538955,-0.06600020448883427,-0.02766281102496036
197.916676988,-0.00732170773187265,-0.06600042806743511,-0.027662662521005212
197.966676991,-0.00732170771681073,-0.0660005468508122,-0.027662841074486362
198.016676994,-0.0073221845517313176,-0.06600047228374568,-0.027662647386697835
198.066676996,-0.007321946163596706,-0.06600057744375223,-0.027662662392845476
198.116676999,-0.007321946161470881,-0.06600062208637676,-0.027663049997055475
198.166677001,-0.0073217077341517535,-0.06600054733749834,-0.027662870940437807
198.216677004,-0.007322661401894973,-0.06600047264829668,-0.027662796158658094
198.266677007,-0.007321946139878207,-0.0660007108849397,-0.027662796622306772
198.316677009,-0.007322184560680516,-0.0660007705501574,-0.027662915870407177
198.366677012,-0.007321469326828979,-0.06600099467651194,-0.027662707255221523
198.416677014,-0.007321946129583505,-0.06600129172574472,-0.02766255835896454
198.466677017,-0.0073219461666003925,-0.06600147157379394,-0.02766285617385245
198.51667702,-0.007322184567838312,-0.06600147108687601,-0.02766223030297859
198.566677022,-0.007321469299262925,-0.06600164953639799,-0.027662468753028552
198.616677025,-0.007321946142854025,-0.06600157521267454,-0.02766245376717324
198.666677027,-0.007321230902248786,-0.06600153093576,-0.027662632979139068
198.71667703,-0.007322184576411284,-0.06600136702214505,-0.02766287098792316
198.766677033,-0.007321707715200474,-0.06600114283611373,-0.027662796267374116
198.816677035,-0.007321707745658741,-0.06600126289704192,-0.027662945687960683
198.866677038,-0.007322184598003959,-0.06600127822358215,-0.02766257323507548
198.91667704,-0.007321946155358157,-0.06600103913616558,-0.027662200185633857
198.966677043,-0.007321946159693413,-0.06600103925783711,-0.027662632440656403
199.016677046,-0.007321230897272552,-0.06600084536103058,-0.027662527882507483
199.066677048,-0.007321230932121812,-0.06600102514824406,-0.02766296038556606
199.116677051,-0.007322184567336677,-0.06600093464535246,-0.027662587739835084
199.166677054,-0.007321707747617354,-0.06600103944057621,-0.027662900965738202
199.216677056,-0.007322184565224786,-0.06600099418913041,-0.02766255820128097
199.266677059,-0.007322422972854116,-0.06600087467549233,-0.027662468302602546
199.316677061,-0.007321946135821637,-0.0660010087863368,-0.027662602769029775
199.366677064,-0.007321946157595457,-0.0660011137027685,-0.027662901058952038
199.416677067,-0.007320992487712478,-0.06600121813344126,-0.02766273713341581
199.466677069,-0.007321707739072251,-0.06600117330761403,-0.027662439091703166
199.516677072,-0.00732242301196896,-0.06600098007861017,-0.027662930094863664
199.566677074,-0.0073212308820991565,-0.06600084493518021,-0.027662886148598444
199.616677077,-0.007320992465311615,-0.06600044266510512,-0.027662647622192324
199.66667708,-0.0073219461483397036,-0.06600048761098128,-0.027662483604339577
199.716677082,-0.007322184569086275,-0.06600048767158526,-0.0276624538248202
199.766677085,-0.007322184573268254,-0.06600032388056903,-0.027662766279682813
199.816677087,-0.007322422976813146,-0.06600047246602118,-0.02766333286474407
199.86667709,-0.007321707734068148,-0.06600045793057774,-0.027662900835863403
199.916677093,-0.00732242299626606,-0.06600041340892936,-0.02766261729184266
199.966677095,-0.007321707716838598,-0.06600057665311906,-0.027662886106448927
200.016677098,-0.0073214693524782225,-0.06600060797655193,-0.027662930204274516
200.0666771,-0.007321946141850754,-0.06600050232962741,-0.027662662435392043
200.116677103,-0.007321230883904493,-0.06600045756602674,-0.02766249801835862
200.166677106,-0.007321946129026132,-0.06600069567960742,-0.027662915811403264
200.216677108,-0.007322422983483241,-0.06600065146236968,-0.027662781258430524
200.266677111,-0.007322184584468687,-0.06600071161473711,-0.027662364411718737
200.316677113,-0.007321230912404146,-0.06600080108342066,-0.027662438972605133
200.366677116,-0.007321469294300624,-0.06600097886282201,-0.027662513767706197
200.416677119,-0.007322184552288689,-0.06600106832988298,-0.027662528323732307
200.466677121,-0.007321469292411683,-0.06600127682505488,-0.02766255812734056
200.516677124,-0.007321230899913946,-0.06600135206108305,-0.027662811564100713
200.566677127,-0.007321946155706515,-0.06600141166500138,-0.027662915836362524
200.616677129,-0.007322422986180373,-0.06600121776703587,-0.02766273686748988
200.666677132,-0.007321707730415673,-0.0660011879654244,-0.027662691924625397
200.716677134,-0.00732218458529081,-0.06600159078278961,-0.027662632900700302
200.766677137,-0.007321469344699507,-0.06600156140702852,-0.027662498410121188
200.81667714,-0.007321946158292172,-0.06600185876044011,-0.027662721906843452
200.866677142,-0.007321469317021978,-0.0660020970576871,-0.027662617945335515
200.916677145,-0.007321946165366363,-0.06600246989023814,-0.02766269227929644
200.966677147,-0.0073221845603243475,-0.06600270763926783,-0.027662677310052983
201.01667715,-0.007321946137563425,-0.06600287143051584,-0.0276627370237507
201.066677153,-0.007321946157086011,-0.06600288687919117,-0.027662453268633546
201.116677155,-0.007321707738799688,-0.06600319980364505,-0.027662632805310373
201.166677158,-0.007322661417241705,-0.06600297640708791,-0.027662513101895877
201.21667716,-0.007322184575985444,-0.06600322960548834,-0.02766290106407607
201.266677163,-0.007322184549862434,-0.06600310966623167,-0.027662364390577055
201.316677166,-0.007321707747539871,-0.06600327455275529,-0.027663034931791924
201.366677168,-0.007322422998941447,-0.06600327443038836,-0.027662498617923085
201.416677171,-0.007322422966538502,-0.06600339272707932,-0.02766273693908719
